iter	F1	Logloss
0	0.6189788356	0.6422173416
1	0.6242348532	0.601643994
2	0.6252938993	0.5616988115
3	0.6176044358	0.5265728729
4	0.6312720958	0.499680257
5	0.625698324	0.4761469566
6	0.6283927455	0.4553064985
7	0.6333333333	0.4382168994
8	0.6362779	0.4230239896
9	0.6391015184	0.4101067259
10	0.6386849865	0.3985922997
11	0.63884874	0.3880632193
12	0.6389848609	0.3792359141
13	0.6396537665	0.3723181464
14	0.6391402715	0.365951127
15	0.6402714932	0.3594610073
16	0.6423604586	0.3547114166
17	0.6475404713	0.3498295568
18	0.649772174	0.3458883393
19	0.6502493766	0.3422989799
20	0.6492061508	0.3391926388
21	0.6506806544	0.3362554378
22	0.6507827606	0.3340687481
23	0.652173913	0.3314438792
24	0.6519895223	0.3292269054
25	0.6522010226	0.327227046
26	0.6569893137	0.3253756471
27	0.6526800722	0.3240399569
28	0.6525122969	0.3226567626
29	0.6544957774	0.3212388901
30	0.6569325002	0.3203134785
31	0.6595574185	0.3189143834
32	0.6578068983	0.3176908742
33	0.6607604282	0.3167951199
34	0.6607208759	0.3157477279
35	0.6629786711	0.3145229075
36	0.663593337	0.3137722644
37	0.6640457031	0.3128057678
38	0.6641685607	0.3120532756
39	0.664825046	0.3112369232
40	0.6653577126	0.3103881837
41	0.6659715407	0.3094973723
42	0.6675636008	0.3088325969
43	0.6673603036	0.3083865271
44	0.6683792049	0.307866764
45	0.6678481941	0.3073208693
46	0.6687423687	0.3070898996
47	0.668739711	0.3065866778
48	0.6698383654	0.3056342154
49	0.6709835064	0.3044744074
50	0.6715925745	0.3039158943
51	0.6715488832	0.3033317425
52	0.6720771296	0.3026827747
53	0.6738534625	0.3021763929
54	0.6738137297	0.3017646558
55	0.6744228544	0.3011995476
56	0.6746283207	0.3008078888
57	0.6751476048	0.3004438629
58	0.6748705452	0.3001871786
59	0.6754861916	0.299806027
60	0.6754369937	0.2995758866
61	0.6757612667	0.2992684039
62	0.6758385585	0.2989777046
63	0.6767301723	0.2985146008
64	0.6769698814	0.2981468769
65	0.6772486772	0.2978266687
66	0.6776115773	0.2973103094
67	0.6784650003	0.2968451034
68	0.6787148594	0.2962779911
69	0.6792406912	0.2957969039
70	0.6795230563	0.2955763202
71	0.679798164	0.2952943659
72	0.6805639966	0.2946749435
73	0.6805226375	0.2944549516
74	0.6809700359	0.2940022653
75	0.6811664642	0.2938588602
76	0.6815642458	0.2937218997
77	0.6830601093	0.2930328002
78	0.6827699217	0.2927545941
79	0.6830422125	0.2924791063
80	0.6839648378	0.2921631508
81	0.6842742913	0.291898718
82	0.6842392292	0.2915904825
83	0.6842392292	0.2914459458
84	0.6849563953	0.291240942
85	0.6850842118	0.2910480319
86	0.6858698941	0.2907337274
87	0.6860324377	0.2906102174
88	0.686630369	0.2903617424
89	0.686720736	0.2901751093
90	0.6863955459	0.2900692344
91	0.686755007	0.2898432851
92	0.6868344627	0.289665916
93	0.686720736	0.2895291547
94	0.6879496947	0.288858593
95	0.6883422977	0.2886741404
96	0.6882669407	0.2884832693
97	0.6887881535	0.2882700314
98	0.6898340875	0.2882206075
99	0.6901918205	0.2880340096
100	0.6904159132	0.2879064149
101	0.691038304	0.2877419575
102	0.6913818007	0.2876512382
103	0.6912658761	0.2874685048
104	0.6918405388	0.287425513
105	0.6916506256	0.2873076289
106	0.6917573498	0.2871849669
107	0.6921875	0.2871041244
108	0.6924185991	0.2868777289
109	0.6926958193	0.2868353122
110	0.6921413122	0.2865173692
111	0.6922568631	0.2863430369
112	0.6925985954	0.286123232
113	0.6930645548	0.2859856672
114	0.6936450839	0.28583792
115	0.693603501	0.2857945189
116	0.6935667606	0.285713774
117	0.6934004675	0.2855871119
118	0.6940414818	0.285243279
119	0.6942346878	0.2849643672
120	0.6942247783	0.2847547661
121	0.6942247783	0.2846803426
122	0.6943445962	0.2846115632
123	0.6948452374	0.2845434831
124	0.6948767058	0.2843914342
125	0.6949284474	0.2841593706
126	0.6954855706	0.2838143115
127	0.6952147092	0.2837764851
128	0.6954074606	0.283678576
129	0.6953658245	0.2835724291
130	0.6953606705	0.2834435185
131	0.6957510473	0.283376926
132	0.6954387645	0.2833345154
133	0.6956729906	0.2832546703
134	0.6957458266	0.2832180711
135	0.6961411905	0.2831358262
136	0.6964424514	0.2830873564
137	0.6966453388	0.283043853
138	0.6970240229	0.2828853844
139	0.6976160602	0.28283195
140	0.6980771528	0.2825501785
141	0.6982743178	0.2824495393
142	0.6985434575	0.2823231931
143	0.6987102938	0.2822518215
144	0.6989433467	0.2822229689
145	0.6992122225	0.2819617101
146	0.6994392077	0.2818564774
147	0.6993140471	0.2818193783
148	0.6992248062	0.2817356724
149	0.6997557052	0.2816145388
150	0.700262092	0.2810955592
151	0.7001012568	0.280963229
152	0.7003214668	0.280893055
153	0.7011672225	0.2808282526
154	0.7008811622	0.2807389316
155	0.7021301916	0.2804843994
156	0.7023554604	0.2803537563
157	0.7023554604	0.2803536474
158	0.7025162096	0.280311847
159	0.702474423	0.2802776913
160	0.7026223464	0.2802159254
161	0.7028119612	0.2801202735
162	0.7028890738	0.280031063
163	0.7029597052	0.2799847266
164	0.7031556427	0.2799564626
165	0.7028472924	0.2798448023
166	0.7036178934	0.2795289682
167	0.7038907039	0.2793987065
168	0.7039676883	0.2793982711
169	0.7038555219	0.279346307
170	0.7040864813	0.2792699674
171	0.7043942993	0.2791402012
172	0.7044294027	0.2791024206
173	0.7046115496	0.2789512435
174	0.7047370296	0.2788893125
175	0.7051495017	0.2788277068
176	0.7052194543	0.2786404805
177	0.7051426538	0.2785799111
178	0.7052544182	0.2785103475
179	0.7051776288	0.2784560649
180	0.7052756372	0.2783889028
181	0.7052687726	0.2783498361
182	0.7054847317	0.2779669496
183	0.7054847317	0.2779420261
184	0.7057847321	0.2778479115
185	0.7064888889	0.2774781031
186	0.7066421757	0.2774368608
187	0.7067535545	0.2773650094
188	0.7068648937	0.2772644135
189	0.7068791847	0.2770227665
190	0.7071855933	0.2769958496
191	0.7071927954	0.2768522958
192	0.7072621727	0.2766561468
193	0.7072202808	0.2765710886
194	0.7074572055	0.2764186319
195	0.7075756678	0.2763815736
196	0.7079855561	0.2763323037
197	0.7081804191	0.2762246515
198	0.7083678542	0.2761253817
199	0.7082840237	0.2760530623
200	0.7084787882	0.275979912
201	0.708749926	0.2758757714
202	0.7087005382	0.2758539851
203	0.7088607595	0.2757480449
204	0.7090209997	0.2756499699
