iter	Passed	Remaining
0	60	30395
1	105	26369
2	196	32488
3	253	31444
4	331	32837
5	383	31583
6	434	30581
7	478	29401
8	520	28378
9	560	27488
10	607	26990
11	655	26668
12	701	26277
13	750	26035
14	795	25721
15	841	25441
16	888	25230
17	933	24998
18	979	24804
19	1024	24582
20	1077	24575
21	1124	24424
22	1169	24260
23	1217	24155
24	1262	23995
25	1321	24089
26	1367	23964
27	1416	23877
28	1462	23756
29	1509	23649
30	1555	23539
31	1605	23484
32	1652	23383
33	1697	23270
34	1746	23206
35	1794	23129
36	1876	23475
37	1925	23405
38	1968	23274
39	2017	23197
40	2077	23256
41	2126	23187
42	2174	23113
43	2220	23014
44	2267	22928
45	2317	22867
46	2353	22685
47	2400	22600
48	2452	22571
49	2504	22537
50	2557	22517
51	2604	22442
52	2652	22372
53	2704	22334
54	2752	22267
55	2801	22215
56	2850	22152
57	2909	22175
58	2959	22123
59	3017	22131
60	3068	22084
61	3112	21985
62	3162	21934
63	3212	21885
64	3272	21898
65	3325	21866
66	3374	21807
67	3436	21829
68	3484	21763
69	3531	21691
70	3581	21639
71	3630	21582
72	3677	21511
73	3734	21499
74	3785	21448
75	3849	21473
76	3895	21399
77	3944	21342
78	3991	21270
79	4043	21227
80	4097	21197
81	4150	21159
82	4198	21094
83	4262	21111
84	4310	21043
85	4362	21000
86	4412	20947
87	4462	20893
88	4510	20828
89	4556	20757
90	4608	20711
91	4660	20669
92	4709	20611
93	4759	20557
94	4812	20515
95	4861	20459
96	4913	20412
97	4964	20366
98	5025	20357
99	5090	20361
100	5141	20310
101	5195	20273
102	5242	20206
103	5290	20144
104	5337	20078
105	5390	20037
106	5442	19989
107	5492	19935
108	5562	19952
109	5651	20036
110	5702	19984
111	5753	19932
112	5803	19875
113	5858	19838
114	5910	19786
115	5962	19737
116	6043	19783
117	6089	19713
118	6147	19681
119	6205	19650
120	6256	19595
121	6302	19527
122	6359	19491
123	6409	19433
124	6460	19380
125	6513	19335
126	6567	19289
127	6613	19219
128	6679	19210
129	6726	19144
130	6779	19095
131	6833	19050
132	6881	18989
133	6932	18935
134	6983	18882
135	7038	18837
136	7110	18839
137	7155	18771
138	7212	18731
139	7260	18669
140	7325	18652
141	7372	18587
142	7429	18548
143	7478	18488
144	7530	18436
145	7582	18385
146	7640	18348
147	7690	18291
148	7742	18238
149	7791	18179
150	7839	18120
151	7891	18066
152	7941	18010
153	7992	17956
154	8046	17909
155	8096	17854
156	8147	17798
157	8174	17695
158	8222	17635
159	8270	17574
160	8319	17517
161	8366	17456
162	8426	17422
163	8483	17379
164	8544	17348
165	8595	17293
166	8645	17238
167	8695	17184
168	8729	17097
169	8779	17042
170	8827	16984
171	8881	16936
172	8945	16909
173	8999	16860
174	9060	16827
175	9120	16789
176	9189	16769
177	9255	16742
178	9311	16698
179	9368	16654
180	9422	16606
181	9475	16556
182	9541	16528
183	9605	16495
184	9653	16437
185	9750	16459
186	9833	16459
187	9884	16404
188	9939	16355
189	9997	16311
190	10103	16345
191	10155	16290
192	10207	16236
193	10262	16187
194	10310	16126
195	10361	16070
196	10407	16007
197	10459	15953
198	10508	15895
199	10556	15834
200	10604	15774
201	10654	15718
202	10702	15657
203	10751	15600
204	10802	15544
205	10865	15507
206	10918	15454
207	10977	15410
208	11031	15359
209	11079	15300
210	11145	15265
211	11210	15228
212	11263	15176
213	11315	15121
214	11363	15063
215	11415	15008
216	11464	14951
217	11515	14896
218	11563	14837
219	11611	14778
220	11666	14728
221	11718	14674
222	11768	14618
223	11826	14572
224	11883	14524
225	11937	14472
226	11985	14414
227	12025	14346
228	12079	14295
229	12131	14241
230	12183	14187
231	12231	14130
232	12259	14048
233	12307	13990
234	12359	13936
235	12408	13880
236	12454	13821
237	12504	13765
238	12554	13709
239	12601	13652
240	12648	13593
241	12699	13539
242	12755	13490
243	12805	13435
244	12858	13383
245	12906	13326
246	12957	13272
247	13007	13217
248	13069	13174
249	13119	13119
250	13167	13062
251	13216	13006
252	13257	12943
253	13306	12887
254	13354	12831
255	13404	12775
256	13455	12722
257	13505	12667
258	13553	12611
259	13603	12557
260	13650	12499
261	13698	12444
262	13749	12390
263	13798	12335
264	13847	12279
265	13892	12221
266	13943	12167
267	14014	12132
268	14067	12080
269	14117	12026
270	14172	11975
271	14223	11922
272	14285	11878
273	14371	11854
274	14428	11804
275	14479	11751
276	14531	11698
277	14584	11646
278	14636	11593
279	14697	11547
280	14760	11503
281	14812	11451
282	14869	11401
283	14921	11348
284	14972	11294
285	15030	11246
286	15100	11206
287	15164	11162
288	15218	11110
289	15269	11057
290	15327	11008
291	15382	10957
292	15434	10904
293	15485	10850
294	15532	10793
295	15582	10739
296	15629	10682
297	15675	10625
298	15724	10570
299	15775	10516
300	15828	10464
301	15883	10413
302	15934	10360
303	15984	10306
304	16041	10255
305	16092	10202
306	16139	10146
307	16187	10091
308	16239	10038
309	16289	9983
310	16341	9931
311	16393	9878
312	16443	9824
313	16490	9768
314	16542	9715
315	16592	9661
316	16638	9605
317	16689	9552
318	16739	9498
319	16790	9444
320	16838	9389
321	16891	9337
322	16944	9285
323	16994	9231
324	17051	9181
325	17100	9127
326	17149	9072
327	17197	9018
328	17247	8964
329	17295	8909
330	17348	8857
331	17396	8802
332	17450	8751
333	17501	8698
334	17551	8644
335	17597	8589
336	17641	8532
337	17694	8480
338	17748	8429
339	17799	8376
340	17849	8322
341	17903	8271
342	17954	8218
343	18008	8166
344	18057	8112
345	18110	8060
346	18159	8007
347	18208	7953
348	18255	7898
349	18309	7846
350	18362	7794
351	18413	7742
352	18468	7690
353	18517	7637
354	18569	7584
355	18617	7530
356	18668	7477
357	18717	7424
358	18767	7371
359	18831	7323
360	18881	7270
361	18943	7221
362	18999	7170
363	19053	7118
364	19118	7071
365	19167	7017
366	19219	6965
367	19268	6911
368	19315	6857
369	19367	6804
370	19416	6751
371	19463	6697
372	19513	6643
373	19563	6591
374	19615	6538
375	19697	6495
376	19775	6451
377	19839	6403
378	19888	6349
379	19934	6295
380	19984	6242
381	20040	6190
382	20089	6136
383	20140	6083
384	20190	6030
385	20239	5977
386	20294	5925
387	20342	5872
388	20393	5819
389	20443	5766
390	20500	5714
391	20550	5661
392	20600	5608
393	20650	5555
394	20704	5503
395	20755	5450
396	20807	5398
397	20859	5345
398	20908	5292
399	20959	5239
400	21012	5187
401	21067	5135
402	21115	5082
403	21163	5028
404	21210	4975
405	21263	4923
406	21313	4870
407	21367	4818
408	21419	4765
409	21470	4712
410	21519	4660
411	21570	4607
412	21620	4554
413	21673	4502
414	21723	4449
415	21775	4397
416	21833	4345
417	21886	4293
418	21940	4241
419	21991	4188
420	22047	4137
421	22102	4085
422	22151	4032
423	22198	3979
424	22250	3926
425	22296	3873
426	22344	3820
427	22393	3767
428	22442	3714
429	22490	3661
430	22540	3608
431	22588	3555
432	22633	3502
433	22685	3449
434	22732	3396
435	22784	3344
436	22831	3291
437	22881	3238
438	22932	3186
439	22981	3133
440	23034	3081
441	23087	3029
442	23135	2976
443	23181	2923
444	23230	2871
445	23280	2818
446	23326	2765
447	23374	2713
448	23423	2660
449	23475	2608
450	23523	2555
451	23569	2502
452	23622	2450
453	23673	2398
454	23719	2345
455	23802	2296
456	23850	2244
457	23897	2191
458	23943	2138
459	23993	2086
460	24046	2034
461	24098	1982
462	24144	1929
463	24196	1877
464	24244	1824
465	24290	1772
466	24336	1719
467	24382	1667
468	24429	1614
469	24482	1562
470	24533	1510
471	24585	1458
472	24640	1406
473	24695	1354
474	24742	1302
475	24791	1249
476	24842	1197
477	24889	1145
478	24935	1093
479	24987	1041
480	25034	988
481	25083	936
482	25128	884
483	25177	832
484	25226	780
485	25286	728
486	25338	676
487	25391	624
488	25438	572
489	25483	520
490	25528	467
491	25574	415
492	25622	363
493	25669	311
494	25716	259
495	25766	207
496	25812	155
497	25859	103
498	25908	51
499	25959	0
